"Year","Quarter","CV.CPUE","Shannon.age","Total.CPUE","AMO","MeanBT","CVofBT","MeanSST","CVofSST"
1991,1,3.4328515001607,1.30174957721356,5461.165,-0.143,4.84864162711238,0.453110350485248,6.36886584516463,0.239513018939867
1991,3,3.36482792186291,0.643412478984324,13303.033,-0.0605,15.8989627787981,0.15396802973969,15.067227665971,0.11268993639948
1992,1,1.69399102863626,1.04487124424443,5208.016,-0.1305,5.67460735511951,0.290785054009289,6.9100284576416,0.192884053501573
1992,3,2.1454686278551,0.949577719443754,13283.461,-0.3635,14.6079662104964,0.159566544379228,14.3504959083185,0.119196260789488
1993,1,1.52219274754828,1.1164534155773,7050.695,-0.202,5.18536585625559,0.33519611325973,6.53261381823842,0.214263267047849
1993,3,3.6612974362878,1.1004190202498,9677.443,-0.185,13.6074442909816,0.178012977072427,13.6344389876699,0.126540182397954
1994,1,1.86849516757852,1.16072646136165,4406.784,-0.2915,4.39380819221852,0.446219364103473,5.96166260649518,0.26915012348923
1994,3,2.12496691330624,1.00362036854449,16099.366,-0.183,15.4594766633077,0.213929057617439,15.0038333404355,0.120779413574897
1995,1,2.47051926837637,1.05817383556168,11047.17,-0.0405,5.18743792412184,0.377266647095491,6.97009755247008,0.205794450429034
1995,3,2.14172920976392,1.13949556766843,12001.724,0.129,14.6822460940601,0.19518195588084,15.595308924109,0.125441294913477
1996,1,2.40876229992597,1.18958740996349,6691.922,-0.0105,4.70550864758348,0.668145934145772,5.88516665877759,0.378315395304722
1996,3,3.46631329189567,0.788516219417005,15227.68,0.0055,13.9962517174958,0.202887521101915,14.8229471648612,0.105102726277542
1997,1,2.97318517953911,0.92551338293803,11119.831,-0.053,4.59267794020429,0.498491947076491,6.07623577311756,0.268612888528395
1997,3,1.96432848175317,0.610413419208095,12482.242,0.073,14.9921952572088,0.227338889828517,16.052499984338,0.130286547352668
1998,1,3.71159602524293,0.901159362274455,11913.412,0.2215,6.16950099934235,0.281435235393448,7.64981706064891,0.185210773916036
1998,3,6.00513426748404,0.767263520779445,22067.08,0.473,13.8837222175963,0.157151322275598,14.3416056865599,0.122750042721937
1999,1,3.25791588855434,1.27725150977844,6419.55,0.0645,5.47081611780782,0.376856681335,6.91814227898916,0.225189741931542
1999,3,6.08543685538899,0.874994368374596,12111.309,0.257,15.0068220372645,0.202146429481108,15.5294918897675,0.137462750670934
2000,1,3.35085966530988,1.26717384772533,5684.953,-0.05,5.65568939412527,0.287438499860192,6.98453659061494,0.186715881017611
2000,3,4.5461543375711,1.10973337069824,3852.053,0.1135,14.1635591319893,0.181139772199705,14.7670813149553,0.121572646182232
2001,1,1.73491737787068,1.20181072673033,3666.364,-0.066,5.51656586540332,0.353488978072132,6.97102845393545,0.198299865428461
2001,3,3.80599943263079,0.918717804638025,8341.914,0.243,14.6823215933893,0.199350194026379,14.9069715127712,0.122176578743872
2002,1,2.42368860351892,1.16460615419684,4763.677,0.1845,6.13090688127966,0.313742845446283,7.30330485153974,0.203575576422688
2002,3,5.24546783226032,0.875151645699636,5817.448,0.1045,15.5662267210036,0.198647864463102,16.3575040925809,0.115753137553171
2003,1,1.80544583794701,1.24170857966409,1939.258,0.03,4.98303256824225,0.512498796493109,6.77392680712832,0.291255434263716
2003,3,4.58421372901886,0.676698151821154,6685.832,0.445,15.0273822410538,0.206365516358353,16.3468862200171,0.0970765306065954
