"Year","Quarter","CV.CPUE","Shannon.age","Total.CPUE","AMO","MeanBT","CVofBT","MeanSST","CVofSST"
1991,1,4.52754929267287,1.02413225143187,1911.509,-0.143,4.84864162711238,0.453110350485248,6.36886584516463,0.239513018939867
1991,3,2.75213318027211,1.18124946413793,735.667,-0.0605,15.8989627787981,0.15396802973969,15.067227665971,0.11268993639948
1992,1,4.53682598796924,1.12042741151955,952.369,-0.1305,5.67460735511951,0.290785054009289,6.9100284576416,0.192884053501573
1992,3,2.66529056923517,1.28927525123004,1003.704,-0.3635,14.6079662104964,0.159566544379228,14.3504959083185,0.119196260789488
1993,1,4.64670113824578,1.57340195767072,1475.505,-0.202,5.18536585625559,0.33519611325973,6.53261381823842,0.214263267047849
1993,3,3.36217593344818,1.22173623495725,2706.167,-0.185,13.6074442909816,0.178012977072427,13.6344389876699,0.126540182397954
1994,1,8.26580585096835,1.08363477681188,2893.242,-0.2915,4.39380819221852,0.446219364103473,5.96166260649518,0.26915012348923
1994,3,3.24934620469539,1.58065520300642,863.739,-0.183,15.4594766633077,0.213929057617439,15.0038333404355,0.120779413574897
1995,1,3.81902387250595,1.37422191419129,605.17,-0.0405,5.18743792412184,0.377266647095491,6.97009755247008,0.205794450429034
1995,3,2.79821477473658,0.902175002870513,3441.967,0.129,14.6822460940601,0.19518195588084,15.595308924109,0.125441294913477
1996,1,6.60559586934702,0.834114978559405,3858.099,-0.0105,4.70550864758348,0.668145934145772,5.88516665877759,0.378315395304722
1996,3,3.63386426843651,1.46223284265376,2829.756,0.0055,13.9962517174958,0.202887521101915,14.8229471648612,0.105102726277542
1997,1,5.17817460709065,1.02644911140298,939.523,-0.053,4.59267794020429,0.498491947076491,6.07623577311756,0.268612888528395
1997,3,3.97173976721238,1.40682052550937,3105.844,0.073,14.9921952572088,0.227338889828517,16.052499984338,0.130286547352668
1998,1,5.15185510128791,1.27374885707787,1331.843,0.2215,6.16950099934235,0.281435235393448,7.64981706064891,0.185210773916036
1998,3,2.92288117263525,1.50863535559019,1652.273,0.473,13.8837222175963,0.157151322275598,14.3416056865599,0.122750042721937
1999,1,3.81443530400696,1.25181320925738,1086.638,0.0645,5.47081611780782,0.376856681335,6.91814227898916,0.225189741931542
