"Year","Quarter","CV.CPUE","Shannon.age","Total.CPUE","AMO","MeanBT","CVofBT","MeanSST","CVofSST"
1991,1,8.93926393433251,0.262326214967182,1094.405,-0.143,4.84864162711238,0.453110350485248,6.36886584516463,0.239513018939867
1991,3,3.6477434823121,1.51816595360338,10179.898,-0.0605,15.8989627787981,0.15396802973969,15.067227665971,0.11268993639948
1992,1,8.64470908916238,0.654865923983972,2897.336,-0.1305,5.67460735511951,0.290785054009289,6.9100284576416,0.192884053501573
1992,3,2.6357659186846,1.6184622793323,23777.453,-0.3635,14.6079662104964,0.159566544379228,14.3504959083185,0.119196260789488
1993,1,5.69412026413541,1.66860442343039,564.166,-0.202,5.18536585625559,0.33519611325973,6.53261381823842,0.214263267047849
1993,3,3.50453615709028,1.59610231550512,37688.981,-0.185,13.6074442909816,0.178012977072427,13.6344389876699,0.126540182397954
1994,1,7.17081645543302,0.320561025092628,348.67,-0.2915,4.39380819221852,0.446219364103473,5.96166260649518,0.26915012348923
1994,3,5.52794880298233,1.28777226325619,27630.751,-0.183,15.4594766633077,0.213929057617439,15.0038333404355,0.120779413574897
1995,1,4.90652148230358,0.818804235253809,537.338,-0.0405,5.18743792412184,0.377266647095491,6.97009755247008,0.205794450429034
1995,3,3.84416977817587,1.65347167218207,17328.918,0.129,14.6822460940601,0.19518195588084,15.595308924109,0.125441294913477
1996,1,8.14723470286725,0.708056340687354,1876.003,-0.0105,4.70550864758348,0.668145934145772,5.88516665877759,0.378315395304722
1996,3,2.74435574717029,1.40452491423518,20598.178,0.0055,13.9962517174958,0.202887521101915,14.8229471648612,0.105102726277542
1997,1,7.75950430622376,0.05876757891137,109634.768,-0.053,4.59267794020429,0.498491947076491,6.07623577311756,0.268612888528395
1997,3,4.61032976852229,1.32716609782187,18486.043,0.073,14.9921952572088,0.227338889828517,16.052499984338,0.130286547352668
1998,1,5.04370749390723,0.678475684857746,5502.14,0.2215,6.16950099934235,0.281435235393448,7.64981706064891,0.185210773916036
1998,3,5.27777288609805,0.964437323764278,38783.135,0.473,13.8837222175963,0.157151322275598,14.3416056865599,0.122750042721937
1999,1,9.15667691789266,1.16543448164306,18761.901,0.0645,5.47081611780782,0.376856681335,6.91814227898916,0.225189741931542
1999,3,2.54913032615999,1.63754832721516,12045.716,0.257,15.0068220372645,0.202146429481108,15.5294918897675,0.137462750670934
2000,1,10.712548590872,0.0584433957944835,49800.57,-0.05,5.65568939412527,0.287438499860192,6.98453659061494,0.186715881017611
2000,3,3.41175537857599,1.01438652788726,25603.762,0.1135,14.1635591319893,0.181139772199705,14.7670813149553,0.121572646182232
2001,1,5.1795178372394,1.35824043230993,15445.27,-0.066,5.51656586540332,0.353488978072132,6.97102845393545,0.198299865428461
2001,3,2.67399630508469,1.63215741382526,9297.01,0.243,14.6823215933893,0.199350194026379,14.9069715127712,0.122176578743872
2002,1,7.29316397817632,0.581963368866806,8111.191,0.1845,6.13090688127966,0.313742845446283,7.30330485153974,0.203575576422688
2002,3,5.07729246787331,1.42168630641979,25361.972,0.1045,15.5662267210036,0.198647864463102,16.3575040925809,0.115753137553171
2003,1,5.50224705137937,1.132818373331,7335.078,0.03,4.98303256824225,0.512498796493109,6.77392680712832,0.291255434263716
2003,3,2.54061521874915,1.31427959096422,9998.042,0.445,15.0273822410538,0.206365516358353,16.3468862200171,0.0970765306065954
2004,1,6.67188126354616,1.08717295110512,7090.39,0.2215,5.39737967812315,0.401220417710734,7.16102032738972,0.2333241041971
2004,3,3.18045464349784,1.54695427358077,17134.539,0.29,14.7848256846154,0.198694389889529,15.6564186530385,0.103427791700647
2005,1,10.5439503614284,0.168619333488503,212261.301,0.1295,5.37175772069863,0.383090222170587,7.208878036437,0.192482490186889
2005,3,3.07768750188047,1.27669875059584,17549.661,0.441,14.5055586428229,0.196335975087788,14.8503495386946,0.130226659904636
2006,1,8.22902557039524,0.782608083845457,65061.47,0.111,5.56432216903622,0.431546707855335,7.23209756564319,0.212576997966745
2006,3,3.75716813545135,1.26153013763815,19422.003,0.3945,14.8873644721505,0.201523309466865,15.9932601703861,0.117208770374236
2007,1,6.27985175611686,0.941403148607357,28602.004,0.206,6.73582787704264,0.261590059570837,8.01919511178645,0.162046760878815
2007,3,2.79507150048483,0.977272603809986,61049.993,0.0885,14.5697682942188,0.161141521407173,14.7362804451609,0.1186274750297
2008,1,6.51326818584519,1.23965402599826,29799.271,0.091,6.05507190497245,0.262029094101654,7.74067881243016,0.171237260984944
2008,3,2.61218381610722,1.15814810993243,70289.969,0.199,15.1085065916666,0.169288138458721,15.3881138204559,0.092020802414949
2009,1,5.12146900222624,1.13256480500733,686.306,-0.0995,5.48189018127949,0.406829805869053,6.50978048206345,0.257973924873954
2009,3,2.79958718358991,1.28045952867817,35641.374,0.1175,15.2059385791328,0.17429519255622,15.6189187096386,0.107557412678227
2010,1,8.4673232342112,1.08388248344251,7389.157,0.121,5.60382701682064,0.469118293472556,6.16665038583058,0.329364455357644
2010,3,3.81059199693491,1.65502745881731,33703.283,0.5,14.3317486932314,0.197821310507887,15.0928333173922,0.103784348098838
2011,1,5.31636410718595,0.138291652471494,10615.784,0.138,4.91089187762267,0.453951269161051,5.92326829099377,0.340914051054892
2011,3,2.60071495582129,1.06827712185399,63312.495,0.158,14.7385478245657,0.162916351570943,14.8553373988082,0.103895264769802
2012,1,4.46778151939228,0.612940867008413,29141.203,-0.0175,6.01308295622065,0.353800940009675,7.3265568977449,0.197831678300459
2012,3,3.17582896535947,0.937562615967317,83204.539,0.452,14.5781288696625,0.191943567170335,14.9824430845617,0.124662338794865
2013,1,3.75021908765481,0.998434486350158,1826.672,0.1345,5.6484911121436,0.362932574128571,6.66193497665529,0.252676576989073
2013,3,4.02244909926736,1.58064186616586,33085.119,0.2375,14.3988178954727,0.208150926142995,15.3374146290911,0.114241210495512
2014,1,7.17051391292459,1.10395400241319,4240.376,-0.0395,5.45615802615755,0.378254231885413,7.1713699141169,0.191106711643631
2014,3,2.95456051334655,1.80360105445223,30854.288,0.335,14.6320214170247,0.188805738224305,15.699768252489,0.113152468982936
2015,1,11.5442279966309,0.0154708237994781,12281.537,0.007,6.01745992983239,0.301854305442005,7.20002842918644,0.185692851130738
2015,3,2.70638736830484,0.873162252816255,83059.572,0.252,13.9166745898169,0.197004942829587,14.9395853368247,0.114783719368151
